anguyen10,AnhNT,E:\User_DB\AnhNT
cnguyen8,ChungNT,E:\User_DB\ChungNT
cnguyen18,CuongNM,E:\User_DB\CuongNM
dnguyen17,DoNT,E:\User_DB\DoNT
ddinh2,DungDX,E:\User_DB\DungDX
gkhuat1,GiangKQ,E:\User_DB\GiangKQ
hnguyen27,HaoNT,E:\User_DB\HaoNT
hnguyen 26,HaoNV,E:\User_DB\HaoNV
hnguyen43,HienNT,E:\User_DB\HienNT
hduong3,HiepDD,E:\User_DB\HiepDD
hdang3,HieuDD,E:\User_DB\HieuDD
hdao2,HieuDT,E:\User_DB\HieuDT
hdinh3,HoaDT,E:\User_DB\HoaDT
hnguyen42,HoangNV,E:\User_DB\HoangNV
htrac1,HoaTQ,E:\User_DB\HoaTQ
hdo2,HuongDT,E:\User_DB\HuongDT
hpham11,HuongPT,E:\User_DB\HuongPT
htran8,HuongTT,E:\User_DB\HuongTT
hpham10,HuyenPT,E:\User_DB\HuyenPT
htran9,HuyTQ,E:\User_DB\HuyTQ
kngo3,KhangND,E:\User_DB\KhangND
kdao1,KhanhDQ,E:\User_DB\KhanhDQ
knguyen 5,KhanhNP,E:\User_DB\KhanhNP
ktran4,KhanhTV,E:\User_DB\KhanhTV
kvu1,KhanhVK,E:\User_DB\KhanhVK
ltran3,LinhTT,E:\User_DB\LinhTT
lvu5,LinhVT,E:\User_DB\LinhVT
ldoan2,LoanDT,E:\User_DB\LoanDT
lnguyen17,LongNT,E:\User_DB\LongNT
mdoan1,MenDT,E:\User_DB\MenDT
mle2,MinhLP,E:\User_DB\MinhLP
mpham2,MinhPQ,E:\User_DB\MinhPQ
ndo1,NgaDT,E:\User_DB\NgaDT
ntong1,NgaTT,E:\User_DB\NgaTT
npham6,NhungPT,E:\User_DB\NhungPT
pkieu1,PhucKT,E:\User_DB\PhucKT
pbui1,PhuongBT,E:\User_DB\PhuongBT
qpham3,QuanPL,E:\User_DB\QuanPL
qle4,QuyLD,E:\User_DB\QuyLD
ttran18,TanTH,E:\User_DB\TanTH
tnguyen10,ThoaNT,E:\User_DB\ThoaNT
tta1,TienTD,E:\User_DB\TienTD
tnguyen52,ToanNT,E:\User_DB\ToanNT
tnguyen63,TrucNT,E:\User_DB\TrucNT
thoang6,Tuan2HA,E:\User_DB\Tuan2HA
tnguyen64,Tuan2NV,E:\User_DB\Tuan2NV
tdo9,TuanDV,E:\User_DB\TuanDV
tpham5,TuanPT,E:\User_DB\TuanPT
ttong1,TuanTC,E:\User_DB\TuanTC
thoang5,TungHD,E:\User_DB\TungHD
vdo1,VangDV,E:\User_DB\VangDV
